plot,sec,tree,species,dbht0,cc,condt0,yeart0,xcoord,ycoord,zelev,elev0,markmanip,actualmanip,cond06,dam06,sprt06,notes1,notes06,dbh09,cond09,dam09,sprt09,notes09,hwa1b09,hwa2b09,dbh14,cond14,dam14,sprt14,vigor14,hwab114,hwab214,scale14,note14,dbh19,cond19,dam19,sprt19,vigor19,hwab119,hwab219,scale19,note19
1,C,531,TSCA,10.4,NA,D,2003,49.5,44,-0.52,50;40,girdle05,girdle05,D,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,D,LEAN,NA,5,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,GONE
1,C,532,ACRU,15.1,C,L,2003,41.5,45.3,-1.78,50;40,none,none,L,NA,NA,NA,NA,17,L,NA,NA,NA,NA,NA,20.1,L,NA,BASP/TRSP,NA,NA,NA,NA,NA,24.4,L,NA,TRSP,NA,NA,NA,NA,NA
1,C,533,TSCA,5.1,S,L,2003,46.1,49.2,-1.64,50;40,girdle05,girdle05,D,NA,NA,NA,NA,5.1,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,534,TSCA,20.1,S,L,2003,50.9,31.5,0.84,50;40,girdle05,girdle05,D,NA,NA,NA,NA,20.1,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,535,PIST,59.4,D,L,2003,52.5,32.4,0.9,50;40,none,none,L,NA,NA,NA,NA,63.2,L,NA,NA,NA,NA,NA,66.4,L,NA,NA,NA,NA,NA,NA,NA,68,L,NA,NA,NA,NA,NA,NA,NA
1,C,536,TSCA,8.1,S,L,2003,55.9,30.1,0.67,50;40,girdle05,girdle05,D,NA,NA,NA,NA,7.3,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,537,TSCA,17.2,S,L,2003,58.5,31.5,0.64,50;40,girdle05,girdle05,L,NA,NA,NA,NA,17.3,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,538,TSCA,16.4,S,L,2003,59.7,35.9,0.87,50;40,none,none,L,NA,NA,NA,NOT PIST;ITS TSCA,16.8,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,539,PIST,24.5,C,L,2003,56.9,36,0.75,50;40,none,none,L,NA,NA,NA,NA,27.7,L,NA,NA,NA,NA,NA,29.8,L,NA,NA,NA,NA,NA,NA,NA,31.1,L,NA,NA,NA,NA,NA,NA,NA
1,C,540,TSCA,12.9,S,L,2003,55.4,37.4,0.65,50;40,girdle05,girdle05,L,NA,NA,NA,NA,13.2,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
